date,min,max,median,q1,q3,stdev,count
2021-05-03T00:00:00.000Z,0.6,3.93,1.5,1.1,2.17,0.759,124
2021-05-04T00:00:00.000Z,0.8,11.17,2.47,1.65,7.12,2.88,120
2021-05-05T00:00:00.000Z,0,6.3,0.83,0,1.5,1.694,104
2021-05-06T00:00:00.000Z,0.4,5.3,1.1,0.87,1.7,1.058,71
2021-05-07T00:00:00.000Z,0.4,4.03,1.9,1.6,2.54,0.782,113
2021-05-08T00:00:00.000Z,1,3.93,2.23,1.8,2.63,0.566,131
2021-05-09T00:00:00.000Z,1,20.32,2.57,2.15,9.83,6.128,145
2021-05-10T00:00:00.000Z,3,19.82,5.07,4.09,11.33,4.934,127
2021-05-11T00:00:00.000Z,2.7,50.25,5.07,4.34,5.95,4.339,121
2021-05-12T00:00:00.000Z,2.1,5.57,3.1,2.7,3.69,0.703,113
2021-05-13T00:00:00.000Z,2.88,15.3,7.93,5.7,10.7,2.674,139
2021-05-14T00:00:00.000Z,1.63,16.7,7.47,2.9,13.61,4.994,128
2021-05-15T00:00:00.000Z,1.2,23.47,5.6,3.37,9.83,4.899,147
2021-05-16T00:00:00.000Z,1.23,11.47,2.67,1.93,8.33,3.248,147
2021-05-17T00:00:00.000Z,0.43,12.9,3.49,2,8.13,3.243,132
2021-05-18T00:00:00.000Z,1.1,14.8,1.8,1.47,8.93,4.457,112
2021-05-19T00:00:00.000Z,0.7,3.57,1.6,1.3,1.97,0.477,138
2021-05-20T00:00:00.000Z,1,3.8,2.29,1.8,2.97,0.733,155
2021-05-21T00:00:00.000Z,0.53,3.67,1.67,1.3,2.25,0.68,144
2021-05-22T00:00:00.000Z,0.47,4.8,1.7,1.37,2.8,0.965,122
2021-05-23T00:00:00.000Z,0.8,9.52,2.33,1.73,4.22,1.931,165
2021-05-24T00:00:00.000Z,0.8,15.87,3.8,1.7,5.03,2.047,147
2021-05-25T00:00:00.000Z,0.83,7.63,3.37,2,4.84,1.631,156
2021-05-26T00:00:00.000Z,0.5,6.73,1.87,1.32,2.29,1.075,161
2021-05-27T00:00:00.000Z,0.03,2.02,0.67,0.4,0.9,0.36,143
